,time_step 1,time_step 2,time_step 3,time_step 4,time_step 5,time_step 6,time_step 7,time_step 8,time_step 9,time_step 10,time_step 11,time_step 12,time_step 13,time_step 14,time_step 15,time_step 16,time_step 17,time_step 18,time_step 19,time_step 20,time_step 21,time_step 22,time_step 23,time_step 24,time_step 25,time_step 26,time_step 27,time_step 28,time_step 29,time_step 30,time_step 31,time_step 32,time_step 33,time_step 34,time_step 35,time_step 36
Episode 136,5292.563788,5285.955401,5279.319759,5274.134154,5275.042411,5280.710739,5271.968264,5264.043547,5257.374774,5252.718988,5251.327881,5233.87501,5218.381146,5212.388728,5185.060899,5160.919783,5134.843529,5100.437004,5065.516679,5038.297147,5009.133801,4986.96803,4962.354505,4939.045233,4913.858702,4886.132533,4850.30021,4816.354898,4776.596155,4750.637258,4707.993422,4665.609284,4637.845468,4589.943238,4548.132344,4503.74179
Episode 137,5284.517543,5278.652368,5273.114818,5272.396088,5275.58308,5267.538478,5259.981063,5253.388833,5248.407247,5245.974986,5230.544289,5216.542226,5210.416709,5182.502329,5157.272945,5130.433382,5096.664839,5062.472383,5034.723472,5005.266751,4981.679993,4956.01087,4931.492645,4905.469348,4877.260106,4841.195781,4806.658697,4767.318431,4739.464137,4697.663484,4656.134032,4626.754087,4580.478237,4539.430133,4496.200569,4454.997524
Episode 138,5277.516993,5271.843754,5269.081919,5268.997677,5261.715455,5254.538541,5247.966979,5242.469804,5238.52961,5225.873011,5213.945202,5207.615275,5178.849276,5152.043347,5124.085103,5091.216747,5058.062526,5029.533136,4999.637071,4973.965284,4946.738382,4920.433786,4893.16573,4864.229098,4827.806169,4792.381238,4753.641645,4722.975903,4682.404631,4642.124934,4610.341621,4566.461281,4526.533221,4485.016466,4444.972887,4404.965907
Episode 139,3463.651104,3445.99276,3430.275746,3417.983502,3409.264045,3395.402656,3385.372421,3375.779686,3368.958911,3359.540241,3349.475279,3341.950731,3328.710405,3321.115494,3312.649357,3308.228069,3304.243222,3301.063446,3294.376809,3289.223739,3280.568193,3280.60966,3269.679634,3267.395175,3260.216798,3256.447605,3265.172438,3259.650538,3262.61619,3270.8734,3270.545693,3274.324651,3273.801165,3276.459163,3282.120967,3280.29113
Episode 140,3448.704311,3430.732496,3417.980322,3409.030601,3394.754263,3384.610028,3374.964162,3368.49634,3359.140664,3349.069445,3341.816862,3328.140388,3320.926254,3312.66293,3308.341798,3304.601345,3301.676084,3294.776141,3289.675078,3280.546879,3281.336787,3269.583705,3267.733537,3260.350371,3256.838767,3267.599955,3261.40441,3264.818488,3274.440496,3274.199397,3278.637531,3278.091535,3281.272721,3287.902621,3285.904263,3285.838743
Episode 141,3433.646219,3418.289008,3408.607916,3393.457906,3383.067945,3373.315924,3367.564475,3358.33853,3348.25739,3341.549763,3327.005907,3320.550431,3312.689836,3308.566862,3305.309024,3302.885153,3295.56334,3290.563892,3280.504945,3282.766205,3269.395266,3268.397751,3260.612414,3257.605712,3272.35703,3264.839711,3269.130183,3281.421305,3281.346928,3287.071526,3286.478685,3290.679673,3299.198144,3296.867503,3297.02243,3299.46118
Episode 142,3880.02396,3857.495708,3833.670234,3805.022821,3784.315071,3757.09066,3734.193032,3709.538208,3685.428806,3660.949359,3640.932384,3614.20963,3597.5143,3583.29468,3562.715208,3544.014897,3534.370699,3523.909374,3501.378587,3486.217534,3468.726271,3453.739564,3441.34572,3426.747612,3413.687692,3406.476001,3391.045623,3381.648753,3372.583649,3367.426834,3358.38556,3348.429797,3341.638483,3327.492362,3320.741597,3312.674339
Episode 143,3855.635354,3833.021379,3805.620073,3784.107042,3757.409216,3734.240889,3709.689165,3685.62959,3661.120304,3640.540043,3614.152348,3597.72497,3583.348511,3563.554819,3545.303618,3534.952673,3523.838955,3502.334277,3487.222588,3470.0358,3455.033933,3442.302981,3427.641896,3414.949141,3407.396425,3392.632973,3383.12666,3373.952373,3368.129519,3358.949318,3348.970453,3341.808792,3328.190512,3320.966094,3312.65867,3308.296033
Episode 144,3831.781601,3805.845758,3784.122986,3757.302389,3734.216652,3709.594303,3685.485112,3660.985233,3640.872066,3614.203435,3597.529142,3583.296769,3562.725197,3544.000425,3534.352483,3523.912816,3501.317079,3486.139025,3468.607891,3453.608274,3441.23909,3426.639923,3413.525419,3406.350681,3390.81856,3381.427975,3372.371171,3367.313944,3358.292156,3348.337692,3341.608728,3327.367538,3320.700602,3312.677256,3308.448561,3304.901469
Episode 145,3807.50916,3783.937117,3757.453112,3734.229392,3709.615373,3685.49581,3660.983613,3640.894506,3614.208859,3597.502832,3583.28871,3562.582075,3543.758085,3534.23427,3523.92804,3501.09956,3485.900163,3468.284984,3453.278797,3440.988579,3426.400125,3413.179793,3406.093595,3390.367475,3381.001399,3371.970494,3367.105581,3358.123012,3348.173722,3341.556561,3327.15172,3320.630612,3312.68218,3308.48915,3305.027527,3302.34876
Episode 146,3783.274706,3757.968007,3734.295508,3709.812152,3685.751211,3661.198774,3640.402721,3614.137129,3597.766799,3583.356254,3563.637465,3545.381161,3534.968684,3523.839002,3502.310176,3487.175569,3469.949549,3454.926682,3442.209087,3427.541915,3414.792455,3407.271714,3392.401556,3382.89726,3373.728056,3368.008742,3358.848253,3348.869825,3341.776009,3328.051981,3320.920304,3312.661947,3308.323475,3304.516195,3301.489371,3294.630832
Episode 147,3758.869534,3734.367957,3710.01354,3686.008856,3661.415641,3639.905537,3614.06432,3598.035819,3583.42535,3564.720728,3547.052096,3535.726763,3523.746879,3503.565372,3488.500413,3471.681532,3456.643893,3443.482669,3428.734824,3416.479205,3408.505219,3394.533258,3384.885819,3375.573015,3368.957508,3359.610633,3349.602035,3342.006975,3329.000012,3321.225523,3312.640619,3308.148757,3303.976729,3300.582336,3294.048615,3288.838049
Episode 148,3515.08175,3344.436752,3258.961097,3233.164198,3287.751133,3465.187109,3811.485354,4179.312671,4308.581752,4303.33986,4265.995332,4200.753977,4112.642801,4031.144741,3962.660005,3914.643307,3885.582098,3986.681188,4222.508415,4292.56472,4207.243958,4093.361716,3900.546725,3700.066872,3451.059005,3286.734312,3176.797598,3128.680387,3135.669094,3196.71394,3340.148132,3523.544755,3669.154054,3789.148181,3845.274572,3823.566792
Episode 149,3402.886302,3392.807879,3379.326021,3366.635726,3352.710469,3342.97732,3339.027843,3331.240739,3323.687034,3315.50566,3309.967702,3302.094664,3295.684872,3290.61398,3282.85415,3275.467882,3267.081884,3267.355706,3266.021964,3261.520399,3255.242428,3254.831643,3257.012302,3258.462082,3254.723007,3252.291424,3247.362515,3246.55784,3240.568818,3244.010044,3251.605974,3254.374181,3261.397664,3259.548537,3263.936072,3268.982247
Episode 150,3663.157343,3716.544764,3755.046419,3793.21696,3822.789125,3854.858361,3889.409207,3925.206376,3955.034709,3987.019018,4010.838624,4045.216808,4071.339131,4096.267613,4127.980342,4164.233919,4194.321264,4219.342577,4236.004775,4255.494952,4267.801787,4273.834091,4276.97034,4290.208313,4299.634014,4309.010056,4323.44221,4331.332411,4342.352151,4343.387147,4338.232692,4336.694851,4333.127064,4327.625007,4319.313063,4323.134148
Episode 151,3692.303053,3733.682442,3768.61596,3799.039981,3830.147431,3862.804141,3896.202656,3927.077579,3958.339266,3985.883128,4018.551617,4047.378337,4075.51066,4106.64821,4140.320158,4170.995814,4198.980675,4212.534973,4227.593281,4239.097564,4247.588943,4254.534599,4266.566172,4276.727615,4286.890333,4299.142584,4308.702848,4319.449835,4325.678037,4322.593447,4321.484608,4319.158202,4315.948721,4311.622908,4312.810165,4315.02659
Episode 152,3721.572299,3770.933213,3804.823172,3837.867401,3872.164685,3907.142022,3938.112889,3970.02737,3996.296358,4029.881482,4057.705645,4084.560984,4116.038191,4150.930616,4181.415323,4208.129184,4223.132899,4240.247846,4252.166552,4259.579382,4264.816104,4277.430364,4287.279869,4297.103142,4310.384873,4319.192097,4330.083755,4333.91367,4329.877105,4328.578039,4325.680874,4321.40725,4315.221879,4317.646674,4321.602622,4323.793732
