,time_step 1,time_step 2,time_step 3,time_step 4,time_step 5,time_step 6,time_step 7,time_step 8,time_step 9,time_step 10,time_step 11,time_step 12,time_step 13,time_step 14,time_step 15,time_step 16,time_step 17,time_step 18,time_step 19,time_step 20,time_step 21,time_step 22,time_step 23,time_step 24,time_step 25,time_step 26,time_step 27,time_step 28,time_step 29,time_step 30,time_step 31,time_step 32,time_step 33,time_step 34,time_step 35,time_step 36
Episode 224,3140.750486,3106.293791,3089.969068,3072.405584,3049.235255,3032.853065,3010.262867,2997.09905,2977.852817,2965.062705,2953.177954,2971.661593,2978.778408,2982.808368,2975.154022,2993.204658,3003.102388,2998.717563,3005.958831,3021.746724,3019.620989,3019.014655,3014.226952,3028.856419,3025.404569,3017.259681,3009.52853,3026.236603,3049.839414,3073.541138,3083.94843,3061.953057,3070.437935,3095.404164,3137.80934,3128.008951
Episode 225,3134.718314,3090.940871,3065.95471,3036.555459,3015.815219,2987.832811,2971.716369,2948.160105,2932.833054,2918.761712,2938.139327,2943.123466,2944.191664,2930.290543,2949.367707,2958.018673,2948.308925,2953.562403,2969.848132,2963.045288,2958.196419,2947.941236,2961.991122,2952.67054,2937.269053,2922.390354,2939.14369,2964.83857,2990.677362,2999.301427,2965.926024,2972.054009,2999.559021,3049.696614,3039.496407,3043.825131
Episode 226,0,4.352363,5.041371,4.328325,0,4.074915,6.063404,7.551155,14.101782,10.948526,8.923473,14.387475,14.78197,12.111768,4.071327,7.026583,19.375025,14.089299,13.555121,6.169577,0,5.797714,0,0,0,0,0,0,0,12.027848,2.031021,3.13049,8.227583,0.939824,1.582551,2.228722
Episode 227,3128.686143,3090.612748,3064.25248,3045.315729,3022.067706,3007.534532,2987.891875,2974.344294,2961.837998,2979.175358,2986.005443,2989.972783,2982.848076,3000.211571,3009.865339,3005.856181,3012.999432,3028.393007,3026.552773,3026.168146,3021.734231,3036.167952,3033.101808,3025.470105,3018.220386,3034.693936,3057.888001,3081.203189,3091.601922,3070.453565,3078.974272,3103.563745,3145.17661,3135.283931,3136.321406,3132.52217
Episode 228,3122.653972,3045.154986,3007.488764,2967.360569,2943.239935,2911.242245,2890.243745,2871.428553,2890.724009,2891.638196,2887.54133,2863.652579,2883.59893,2889.820744,2871.530937,2873.292237,2889.944723,2875.566083,2863.804277,2844.723863,2857.567016,2838.785432,2811.729484,2785.345725,2801.909606,2830.669306,2859.674834,2865.286173,2813.691511,2815.891864,2847.254183,2909.531993,2898.558226,2907.438183,2907.548151,2923.858477
Episode 229,3116.621801,3091.448062,3075.07561,3063.388467,3050.410665,3040.204949,3030.666364,3045.135279,3055.279271,3064.245473,3068.425151,3083.258226,3094.780748,3100.332842,3110.783519,3124.888675,3131.401774,3138.554512,3143.909266,3159.12754,3166.57617,3171.98561,3177.555502,3193.698365,3212.851662,3232.072781,3245.531964,3244.882951,3257.499655,3277.314752,3304.766654,3295.46372,3291.066124,3284.505853,3281.950942,3274.031961
Episode 230,3110.589629,3114.262702,3111.913095,3109.37689,3105.503513,3101.229041,3114.392748,3129.327736,3144.742935,3162.200007,3175.077224,3189.362791,3206.220366,3220.958841,3234.107979,3250.545755,3266.706451,3283.649529,3300.147747,3320.027893,3340.798634,3361.501685,3377.591791,3392.36453,3407.104101,3424.358759,3447.780577,3465.404006,3479.877652,3491.00706,3482.566956,3471.978279,3462.334877,3450.935847,3441.885024,3434.125563
Episode 231,3104.557458,3074.87577,3057.972573,3045.463659,3034.478566,3047.719494,3057.196449,3065.66479,3069.494731,3083.860469,3095.035004,3100.283261,3110.443399,3124.310706,3130.547358,3137.427944,3142.48395,3157.514894,3164.653785,3169.706799,3174.912517,3190.912336,3210.005096,3229.18492,3242.476814,3241.307883,3253.734096,3273.554135,3301.231076,3291.83916,3287.496285,3280.937159,3278.506792,3270.561695,3259.582664,3247.061805
Episode 232,3098.525287,3017.031079,2982.731686,2958.00799,2967.769793,2968.338779,2966.514755,2951.810473,2967.004099,2973.346328,2962.864017,2966.447958,2980.728449,2973.146412,2967.416469,2956.429394,2969.16663,2959.137603,2943.067565,2927.422233,2943.014316,2967.591136,2992.450992,3000.26392,2966.134219,2971.434153,2998.205956,3047.815135,3037.011948,3040.888342,3038.337509,3047.800354,3041.240739,3025.862757,3006.001401,2989.973124
Episode 233,3092.493116,3088.938176,3083.812659,3097.502806,3111.386744,3125.316982,3139.629467,3153.018188,3166.670593,3180.841673,3194.57342,3207.968023,3222.045074,3236.063884,3250.247836,3266.450157,3283.369061,3300.478931,3317.575945,3333.686013,3349.510984,3365.32589,3381.679619,3399.361752,3415.795111,3431.547465,3446.574795,3437.932033,3428.823112,3419.91772,3410.630493,3401.851682,3393.352807,3384.99632,3376.518,3368.192938
Episode 234,3086.460945,3012.970175,3009.171437,3006.450027,3004.125699,2992.768253,3005.171308,3011.206394,3004.01241,3008.255162,3021.371926,3016.768265,3013.696708,3006.30607,3018.992943,3012.879992,3001.733434,2990.910473,3006.098208,3028.836737,3051.874631,3060.706707,3034.436362,3041.16435,3065.915929,3109.876525,3099.183189,3100.84408,3097.12765,3103.539974,3096.490125,3082.024382,3063.784835,3048.77751,3029.705785,3019.889509
Episode 235,3080.428773,3089.12887,3100.7558,3112.751864,3124.229894,3137.413458,3150.192619,3162.044526,3174.725573,3188.05868,3200.115122,3212.284365,3224.139857,3239.947976,3254.383672,3268.450023,3282.539012,3298.537339,3315.093097,3331.673738,3347.211283,3360.164682,3375.547441,3392.259431,3410.389715,3401.521074,3393.564888,3385.212911,3377.609763,3369.013316,3359.869418,3350.446797,3341.263167,3331.779154,3322.97964,3313.056519
Episode 236,3093.833597,3175.7044,3217.108828,3260.426118,3280.051588,3303.880376,3339.749703,3364.184571,3379.481028,3412.145205,3443.219239,3478.602998,3499.024455,3538.445504,3583.008209,3627.270411,3644.919161,3654.746586,3664.179704,3688.154579,3748.261767,3774.397383,3781.909025,3769.523886,3763.134696,3743.940807,3730.279738,3706.09891,3695.841761,3693.262546,3694.594407,3692.568483,3694.760496,3687.33313,3695.694611,3702.693937
Episode 237,0,5.494457,5.459983,0,5.553931,8.390898,10.554289,19.848081,15.489218,12.673921,20.497536,21.111966,17.333654,5.836576,10.0877,27.850048,20.273858,19.523372,8.893293,0,8.368742,0,0,0,0,0,0,0,17.420765,2.942501,4.536578,11.925983,1.362597,2.294936,3.232622,15.788146
Episode 238,3107.238425,3224.422303,3291.411655,3321.310363,3353.276699,3400.319258,3431.203744,3448.941093,3490.516866,3529.778102,3575.024836,3598.05345,3647.800405,3704.821574,3761.435737,3780.301783,3787.987789,3795.034774,3822.707308,3901.804444,3932.543406,3936.713195,3912.459057,3907.28889,3883.819926,3868.223538,3837.5764,3826.801705,3826.991459,3832.769404,3833.742598,3840.747118,3833.984311,3849.815873,3863.700325,3613.669237
Episode 239,3120.643248,3350.627402,3424.402902,3483.616044,3563.339863,3613.258319,3638.568388,3705.105663,3767.22872,3839.86307,3870.289356,3948.610453,4040.056016,4130.790919,4153.10696,4154.971805,4155.505344,4193.412052,4324.872426,4368.332388,4363.32303,4306.382873,4304.591194,4269.355016,4248.437119,4199.977033,4187.784268,4195.613816,4213.653733,4222.89964,4243.175043,4238.248294,4274.67583,4307.543482,3964.875918,3671.570264
Episode 240,3134.048072,3336.08725,3415.301665,3497.239917,3550.175311,3579.435895,3643.037162,3702.294128,3770.507179,3801.401327,3874.579414,3959.424355,4043.643772,4066.569223,4070.969931,4073.989914,4110.467331,4231.092575,4272.530779,4270.231205,4220.992985,4218.983781,4186.733269,4167.357733,4123.044565,4111.469613,4117.980435,4133.719476,4141.494515,4159.247599,4154.174312,4186.549508,4215.704439,3892.371192,3613.696315,3394.873418
Episode 241,3147.452899,3315.977004,3402.160815,3457.011782,3489.534365,3546.219605,3598.792292,3657.943672,3687.89241,3751.027803,3823.384894,3895.231108,3917.996673,3925.728535,3932.169493,3965.364879,4066.230573,4103.37531,4105.211367,4069.085946,4066.196585,4038.839602,4021.83325,3984.621181,3973.844813,3977.68277,3988.982194,3993.827291,4006.748692,4001.169352,4025.934486,4048.092848,3759.875306,3507.808747,3304.248865,3033.98808
Episode 242,3160.857723,3303.186602,3364.025778,3399.955615,3449.169888,3494.308566,3543.567838,3571.897023,3624.151361,3683.099267,3741.635637,3763.758222,3774.541291,3784.194634,3813.650717,3893.538924,3925.895434,3931.816083,3909.257765,3905.250016,3882.878652,3868.218765,3838.370211,3828.3167,3829.214743,3835.707744,3837.347736,3845.050937,3838.843301,3855.444926,3870.088901,3619.099397,3395.25527,3207.880051,2970.264066,2747.859212
Episode 243,3174.262547,3259.829308,3295.262424,3331.515501,3364.213129,3398.337009,3422.418856,3458.771977,3498.577284,3538.120336,3558.153499,3571.984234,3585.092227,3608.768223,3659.58744,3684.791492,3695.687445,3691.135361,3685.179157,3669.257528,3657.485049,3637.456147,3628.140324,3624.756401,3624.404982,3621.414724,3621.715188,3614.45216,3619.58614,3623.656988,3424.075723,3239.231679,3074.213504,2881.82823,2697.702494,2524.407805
