,block_ch_mq_1,block_ch_mq_2,block_ch_mq_3,block_ch_mq_4,block_ch_mq_5,block_ch_mq_6,block_ch_mq_7,block_ch_mq_8,block_ch_mq_9,block_ch_mq_10,block_ch_mq_11,block_ch_mq_12,block_ch_mq_13,block_ch_mq_14,block_ch_mq_15,block_ch_mq_16,block_ch_mq_17,block_ch_mq_18,block_ch_mq_19,block_ch_mq_20,block_ch_mq_21,block_ch_mq_22,block_ch_mq_23,block_ch_mq_24,block_ch_mq_25,block_ch_mq_26,block_ch_mq_27,block_ch_mq_28,block_ch_mq_29,block_ch_mq_30,block_ch_mq_31,block_ch_mq_32,block_ch_mq_33,block_ch_mq_34,block_ch_mq_35,block_ch_mq_36
Episode 144,13.346153846153852,17.481481481481488,21.32142857142858,24.89655172413794,29.61586666674945,34.01641379318909,38.73128571437441,43.79540740749939,40.47747384624935,42.23643840009933,44.141983333436805,46.21322782619495,48.47276727284017,50.947500952499226,53.6697080001242,56.67846315802547,60.02152444458243,63.75788705896963,67.96129500015522,72.72515733349888,83.53351384634487,83.53351384634487,83.53351384634487,83.53351384634487,83.53351384634487,83.53351384634487,83.53351384634487,83.53351384634487,83.53351384634487,83.53351384634487,83.53351384634487,83.53351384634487,83.53351384634487,83.53351384634487,83.53351384634487,83.53351384634487
Episode 145,13.346153846153852,17.481481481481488,21.32142857142858,24.89655172413794,30.171586207003603,34.74914285725373,39.66577777789276,36.1890123078117,37.77643840012417,39.49615000012936,41.365401739265415,43.404585454686575,45.63797714300499,48.09470800015525,50.810042105426575,53.82708000017251,57.19906352959442,60.99254500019408,65.29182400020703,74.95659076946964,74.95659076946964,74.95659076946964,74.95659076946964,74.95659076946964,74.95659076946964,74.95659076946964,74.95659076946964,74.95659076946964,74.95659076946964,74.95659076946964,74.95659076946964,74.95659076946964,74.95659076946964,74.95659076946964,74.95659076946964,74.95659076946964
Episode 146,13.346153846153852,17.481481481481488,21.32142857142858,26.32675862081812,30.767000000133056,35.536148148286124,31.90055076937405,33.31643840014901,34.8503166668219,36.51757565233589,38.336403636532985,40.32845333351075,42.5197080001863,44.941621052827685,47.63263555576256,50.6402400002192,54.023795000232894,57.8584906669151,66.37966769259434,66.37966769259434,66.37966769259434,66.37966769259434,66.37966769259434,66.37966769259434,66.37966769259434,66.37966769259434,66.37966769259434,66.37966769259434,66.37966769259434,66.37966769259434,66.37966769259434,66.37966769259434,66.37966769259434,66.37966769259434,66.37966769259434,66.37966769259434
Episode 147,13.346153846153852,17.481481481481488,21.32142857142858,26.784857143012378,31.406518518679505,27.6120892309364,28.856438400173857,30.20448333351444,31.669749565406377,33.268221818379395,35.01892952401652,36.94470800021735,39.0732000002288,41.43819111135262,44.08141647084396,47.05504500027171,50.42515733362317,57.80274461571904,57.80274461571904,57.80274461571904,57.80274461571904,57.80274461571904,57.80274461571904,57.80274461571904,57.80274461571904,57.80274461571904,57.80274461571904,57.80274461571904,57.80274461571904,57.80274461571904,57.80274461571904,57.80274461571904,57.80274461571904,57.80274461571904,57.80274461571904,57.80274461571904
Episode 148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 149,445.03289441517313,445.03289441517313,445.03289441517313,445.03289441517313,445.03289441517313,445.03289441517313,445.03289441517313,445.03289441517313,445.03289441517313,445.03289441517313,445.03289441517313,445.03289441517313,445.03289441517313,445.03289441517313,445.03289441517313,445.03289441517313,445.03289441517313,445.03289441517313,445.03289441517313,445.03289441517313,445.03289441517313,445.03289441517313,445.03289441517313,445.03289441517313,445.03289441517313,445.03289441517313,445.03289441517313,445.03289441517313,445.03289441517313,445.03289441517313,445.03289441517313,445.03289441517313,445.03289441517313,445.03289441517313,445.03289441517313,445.03289441517313
Episode 150,445.032894415185,445.032894415185,445.032894415185,445.032894415185,445.032894415185,445.032894415185,445.032894415185,445.032894415185,445.032894415185,445.032894415185,445.032894415185,445.032894415185,445.032894415185,445.032894415185,445.032894415185,445.032894415185,445.032894415185,445.032894415185,445.032894415185,445.032894415185,445.032894415185,445.032894415185,445.032894415185,445.032894415185,445.032894415185,445.032894415185,445.032894415185,445.032894415185,445.032894415185,445.032894415185,445.032894415185,445.032894415185,445.032894415185,445.032894415185,445.032894415185,445.032894415185
Episode 151,448.25335730033066,448.25335730033066,448.25335730033066,448.25335730033066,448.25335730033066,448.25335730033066,448.25335730033066,448.25335730033066,448.25335730033066,448.25335730033066,448.25335730033066,448.25335730033066,448.25335730033066,448.25335730033066,448.25335730033066,448.25335730033066,448.25335730033066,448.25335730033066,448.25335730033066,448.25335730033066,448.25335730033066,448.25335730033066,448.25335730033066,448.25335730033066,448.25335730033066,448.25335730033066,448.25335730033066,448.25335730033066,448.25335730033066,448.25335730033066,448.25335730033066,448.25335730033066,448.25335730033066,448.25335730033066,448.25335730033066,448.25335730033066
Episode 152,451.1686859780969,451.1686859780969,451.1686859780969,451.1686859780969,451.1686859780969,451.1686859780969,451.1686859780969,451.1686859780969,451.1686859780969,451.1686859780969,451.1686859780969,451.1686859780969,451.1686859780969,451.1686859780969,451.1686859780969,451.1686859780969,451.1686859780969,451.1686859780969,451.1686859780969,451.1686859780969,451.1686859780969,451.1686859780969,451.1686859780969,451.1686859780969,451.1686859780969,451.1686859780969,451.1686859780969,451.1686859780969,451.1686859780969,451.1686859780969,451.1686859780969,451.1686859780969,451.1686859780969,451.1686859780969,451.1686859780969,451.1686859780969
Episode 153,453.8092961354731,453.8092961354731,453.8092961354731,453.8092961354731,453.8092961354731,453.8092961354731,453.8092961354731,453.8092961354731,453.8092961354731,453.8092961354731,453.8092961354731,453.8092961354731,453.8092961354731,453.8092961354731,453.8092961354731,453.8092961354731,453.8092961354731,453.8092961354731,453.8092961354731,453.8092961354731,453.8092961354731,453.8092961354731,453.8092961354731,453.8092961354731,453.8092961354731,453.8092961354731,453.8092961354731,453.8092961354731,453.8092961354731,453.8092961354731,453.8092961354731,453.8092961354731,453.8092961354731,453.8092961354731,453.8092961354731,453.8092961354731
